,user,tweet,source
175,TheCrazyKat,"Great thread for those who are expecting, just gave birth, have children or are thinking about it. 💓 https://t.co/R6a6ykdUUb",Twitter for Android
176,TheCrazyKat,RT @_tealswan: Don’t ever think that if you don’t know the reason why you feel the way you do that there isn’t a reason.,Twitter for Android
177,TheCrazyKat,Feeling this https://t.co/Y4mOMTaGvL,Twitter for Android
178,TheCrazyKat,RT @hondacrvthe3rd: fuck a breakup have you ever realized one of your friends was kind of a terrible person?,Twitter for Android
179,TheCrazyKat,RT @_tealswan: Answer this question: What would give me energy?  Prioritize doing those things that give you energy both consciously and di…,Twitter for Android
180,TheCrazyKat,RT @NoContextBrits: Never forget. https://t.co/v71KMepMQK,Twitter for Android
181,TheCrazyKat,RT @weirdlilguys: https://t.co/dOiCTbmeG2,Twitter for Android
182,blondescienze,@david__raleigh @dog_rates 🤣,Twitter for Android
183,blondescienze,"RT @NASAWebb: This galaxy polishes up real nice. 💎

In this comparison of Spitzer, Hubble and Webb views, respectively, check out how Webb’…",Twitter for Android
184,blondescienze,"@NASAWebb Is anyone else feeling sorry for the Hubble lately? The accomplishments of its newer, better sibling bein… https://t.co/W7GiKZNNvy",Twitter for Android
185,blondescienze,"RT @TheOceanCleanup: According to our projections, we expect to be able to clean the entire Great Pacific Garbage Patch (containing 100,000…",Twitter for Android
186,blondescienze,"@NickOfNewYork @tboypod Aww, I just did! That'll definitely make my birthday a TBOY! Thank you, Nick. Love you guys!!",Twitter for Android
187,blondescienze,@CondorSZN DA is a GOAT but can't catch with his feet FFS 🤣,Twitter for Android
188,blondescienze,@randoNumCactus @Charles_Lister A grain of sand can cause a light like that,Twitter for Android
189,blondescienze,@NickOfNewYork @tboypod re: today's episode...I have a September birthday (23 😏) and so do a bunch of my friends. I… https://t.co/ZYRV8DhC8H,Twitter for Android
190,blondescienze,@Bazingq_ @thedudeED @untappd Buzz kill!,Twitter for Android
191,blondescienze,@xavierdelacruz @levelsio Problem-solving rather than arguing 👏🏼🙂,Twitter for Android
192,blondescienze,@NBCPhiladelphia Bet it was the hotcakes 🥞,Twitter for Android
193,blondescienze,"@photoguy603 @NBCPhiladelphia Is it just me, or does this happen once a week in Philly? 🌊",Twitter for Android
194,blondescienze,@drchatterjeeuk hey doc! I recently discovered your podcast &amp; I love it. I've tried IF in the past but I'm more mot… https://t.co/g5w2T8LDfS,Twitter for Android
195,blondescienze,"Saw about 7 meteors last night, even through the light pollution of a major city. I'm tired AF but it was worth it.… https://t.co/wZc8iauAE1",Twitter for Android
196,blondescienze,@magicalmilaorg What a beautiful way to remember little Mila 💓,Twitter for Android
197,blondescienze,@laughmostlycry Yes!! What is happening? It's beautiful whatever it is. https://t.co/O8SJxr3ESD,Twitter for Android
198,blondescienze,@billy_penn Just an idea for a story; why is it so difficult to get my tax abatement in Philly? I started the proce… https://t.co/ycc5V2UQOd,Twitter for Android
199,blondescienze,@RobinhoodSnacks Obsessed with this app &amp; on a 3-day streak 🤓 Thanks guys! I didn't know what I was missing. https://t.co/fJV1tQ1iu5,Twitter for Android
200,blondescienze,"@CBSPhilly If this was an ice cream shop, it's hilarious🍦 https://t.co/FiPB9h0jLm",Twitter for Android
201,blondescienze,"#CancelStudentDebt 
Here's how I would boost the economy immediately: 1. Buy a new car (electric, obvs) 2. Buy a ne… https://t.co/GB99OIVHgx",Twitter for Android
